nombre,algoritmo,tiempo_ms,tiempo_total_ms,nodos,exito,solucion_valida,limite_excedido,ac3_aplicado,tiempo_ac3_ms,pre_reduccion
M0,BT,2252.111,2252.111,258339,1,1,0,0,0.0,1
M0,FC,1.775,1.775,69,1,1,0,0,0.0,1
M0,AC3+BT,2241.107,2245.324,258339,1,1,0,1,4.217,1
M0,AC3+FC,1.343,4.302,69,1,1,0,1,2.959,1
M1,BT,1.486,1.486,103,1,1,0,0,0.0,1
M1,FC,1.256,1.256,52,1,1,0,0,0.0,1
M1,AC3+BT,0.294,3.962,1,1,1,0,1,3.668,1
M1,AC3+FC,0.351,3.98,1,1,1,0,1,3.629,1
M2,BT,1.235,1.235,97,1,1,0,0,0.0,1
M2,FC,0.846,0.846,24,1,1,0,0,0.0,1
M2,AC3+BT,1.218,4.121,97,1,1,0,1,2.903,1
M2,AC3+FC,0.679,3.653,24,1,1,0,1,2.974,1
M3,BT,195.831,195.831,22540,1,1,0,0,0.0,1
M3,FC,1.997,1.997,95,1,1,0,0,0.0,1
M3,AC3+BT,192.132,195.101,22540,1,1,0,1,2.969,1
M3,AC3+FC,1.924,5.058,95,1,1,0,1,3.135,1
M4,BT,18487.766,18487.766,2000026,0,0,1,0,0.0,1
M4,FC,2.066,2.066,97,1,1,0,0,0.0,1
M4,AC3+BT,18677.314,18680.249,2000026,0,0,1,1,2.935,1
M4,AC3+FC,1.853,5.563,97,1,1,0,1,3.71,1
M5,BT,2142.235,2142.235,231851,1,1,0,0,0.0,1
M5,FC,1.58,1.58,69,1,1,0,0,0.0,1
M5,AC3+BT,2173.564,2176.684,231851,1,1,0,1,3.12,1
M5,AC3+FC,1.368,4.48,69,1,1,0,1,3.112,1
M6,BT,21869.393,21869.393,2000101,0,0,1,0,0.0,1
M6,FC,45361.9,45361.9,2000030,0,0,1,0,0.0,1
M6,AC3+BT,21796.773,21799.673,2000101,0,0,1,1,2.9,1
M6,AC3+FC,45326.873,45330.721,2000030,0,0,1,1,3.848,1
